,num-shots,backend,state,noisescalefactor,target,expectation_value,CZ_gates,CZ_depth,fidelity,seed
0,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30078011,81,51,0.961,9080489
1,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.33303002,81,51,0.961,1823065
2,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.3127045,81,51,0.961,8476445
3,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32122255,81,51,0.961,2300766
4,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30898746,81,51,0.961,5477639
5,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32199466,81,51,0.961,3187619
6,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29716405,81,51,0.961,2904974
7,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.33108401,81,51,0.961,1598433
8,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.28873973,81,51,0.961,7902276
9,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.3002359,81,51,0.961,9516103
10,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30476854,81,51,0.961,9698035
11,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.3228732,81,51,0.961,5811819
12,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.3038182,81,51,0.961,5522482
13,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31315731,81,51,0.961,7014825
14,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.27972855,81,51,0.961,8873530
15,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31618646,81,51,0.961,4080319
16,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32213663,81,51,0.961,5983430
17,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29898101,81,51,0.961,2215910
18,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32613216,81,51,0.961,7282735
19,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29179284,81,51,0.961,6205473
20,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31719361,81,51,0.961,7078810
21,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.33442126,81,51,0.961,2454183
22,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29428268,81,51,0.961,797776
23,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31547875,81,51,0.961,6962830
24,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31877168,81,51,0.961,294099
25,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32274098,81,51,0.961,9234040
26,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29739763,81,51,0.961,2898871
27,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30499722,81,51,0.961,9428257
28,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30253403,81,51,0.961,2496352
29,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29742272,81,51,0.961,2274599
30,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32675219,81,51,0.961,3777882
31,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32060285,81,51,0.961,6179907
32,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.28824235,81,51,0.961,3604474
33,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32228564,81,51,0.961,8331311
34,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32460402,81,51,0.961,6783169
35,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30597417,81,51,0.961,8197012
36,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30930854,81,51,0.961,1745258
37,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.28023892,81,51,0.961,8913022
38,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.27713419,81,51,0.961,9017678
39,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30892178,81,51,0.961,7183505
40,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.27995904,81,51,0.961,272776
41,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31713992,81,51,0.961,6844633
42,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.26397172,81,51,0.961,6821519
43,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31364872,81,51,0.961,1763503
44,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32178001,81,51,0.961,7343010
45,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29996395,81,51,0.961,9181564
46,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30878646,81,51,0.961,5083008
47,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29728742,81,51,0.961,6791929
48,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30202625,81,51,0.961,4089575
49,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.34310964,81,51,0.961,3375765
50,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30362597,81,51,0.961,5945506
51,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29173258,81,51,0.961,2639975
52,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32416011,81,51,0.961,3604425
53,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.28952507,81,51,0.961,1557158
54,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29657423,81,51,0.961,8086806
55,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31773405,81,51,0.961,371480
56,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29985955,81,51,0.961,2715082
57,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31612015,81,51,0.961,9552091
58,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29432292,81,51,0.961,9714098
59,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32766988,81,51,0.961,8397748
60,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32499075,81,51,0.961,5595734
61,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29932293,81,51,0.961,1010266
62,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29085438,81,51,0.961,7097726
63,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30347656,81,51,0.961,6943687
64,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29052713,81,51,0.961,7426533
65,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.28485456,81,51,0.961,1196534
66,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30431755,81,51,0.961,396777
67,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.28396766,81,51,0.961,456308
68,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29287931,81,51,0.961,1725359
69,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.27887492,81,51,0.961,6960210
70,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.3068585,81,51,0.961,334245
71,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31669445,81,51,0.961,4199157
72,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29532082,81,51,0.961,2866702
73,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.27483426,81,51,0.961,7389614
74,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29959498,81,51,0.961,5004276
75,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30158972,81,51,0.961,1113696
76,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29349346,81,51,0.961,3886384
77,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31066071,81,51,0.961,9956400
78,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32662883,81,51,0.961,4088319
79,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29673545,81,51,0.961,1514964
80,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30796371,81,51,0.961,2496158
81,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.3053376,81,51,0.961,6271253
82,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31787236,81,51,0.961,4872002
83,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2924173,81,51,0.961,1904323
84,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29873637,81,51,0.961,5853174
85,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29052136,81,51,0.961,6658862
86,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.33192038,81,51,0.961,8453336
87,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.30407115,81,51,0.961,8717239
88,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31714452,81,51,0.961,8554345
89,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29640129,81,51,0.961,8107953
90,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.35083007,81,51,0.961,655042
91,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31967539,81,51,0.961,8444726
92,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.26337214,81,51,0.961,4343566
93,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32436999,81,51,0.961,7215661
94,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31266886,81,51,0.961,2710879
95,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.32820092,81,51,0.961,7082739
96,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.31361046,81,51,0.961,9517504
97,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.33152866,81,51,0.961,125417
98,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29920016,81,51,0.961,5451169
99,1000,1,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.29318948,81,51,0.961,6254358
100,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20565555,109,67,0.961,6119356
101,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17992228,107,65,0.961,1612369
102,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.19839542,119,65,0.961,7037869
103,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22849894,101,59,0.961,3216121
104,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17685974,113,67,0.961,5713189
105,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24440356,109,73,0.961,9534400
106,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22829139,101,63,0.961,2606959
107,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.165009,111,69,0.961,8730756
108,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.25104196,97,63,0.961,3927085
109,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21334853,115,67,0.961,8847043
110,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17791889,109,67,0.961,6969398
111,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17756704,107,69,0.961,7113678
112,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.18083627,113,73,0.961,6187918
113,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.23393931,109,67,0.961,9080898
114,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.16302848,117,73,0.961,5612878
115,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24160434,103,61,0.961,8848317
116,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20940201,103,63,0.961,4495421
117,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.19788017,119,71,0.961,5891272
118,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2086906,111,71,0.961,7937622
119,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.23036052,111,65,0.961,9610647
120,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.18848166,111,73,0.961,4080891
121,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22668962,103,65,0.961,1724181
122,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20390221,115,75,0.961,2364402
123,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22574892,107,65,0.961,7988611
124,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24663155,107,57,0.961,4233229
125,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22245545,105,65,0.961,4773885
