LSFJOBID,argparse.shots,argparse.mode,argparse.pub,argparse.label,argparse.noisescalefactor,argparse.noisemodel,argparse.target,num_shots,estimator_precision,estimator_type,cpu_cores,time_start,lambda_noise,expectation_value,time_end,time_elapsed,CZ_gates,CZ_depth,fidelity
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_9080489.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.30078011,2025 05 30-03 09 23 AM,5:56:02.595239,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_1823065.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.33303002,2025 05 30-03 10 35 AM,5:57:14.937058,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_8476445.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.3127045,2025 05 30-03 09 10 AM,5:55:49.420560,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_2300766.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-03 16 34 PM,1.0,-6.32122255,2025 05 29-09 14 16 PM,5:57:41.734056,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_5477639.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-03 16 34 PM,1.0,-6.30898746,2025 05 29-09 13 30 PM,5:56:56.118153,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_3187619.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.32199466,2025 05 30-03 10 01 AM,5:56:40.696542,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_2904974.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.29716405,2025 05 30-03 09 17 AM,5:55:57.089591,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_1598433.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.33108401,2025 05 30-03 09 43 AM,5:56:23.368008,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_7902276.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.28873973,2025 05 30-03 09 22 AM,5:56:01.469972,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_9516103.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.3002359,2025 05 30-03 09 26 AM,5:56:05.406345,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_9698035.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-03 16 34 PM,1.0,-6.30476854,2025 05 29-09 12 44 PM,5:56:09.671984,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_5811819.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-03 16 34 PM,1.0,-6.3228732,2025 05 29-09 12 17 PM,5:55:43.359580,81,51,0.99
15292311,1000,4,adaptaqcaer_300_noise1p000_target_ibm_fez_2024-11-10T10:40:31+00:00_seed_5522482.pub.pkl,300,1.0,ibm_fez_2024-11-10T10:40:31+00:00.properties.pkl,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 05 29-09 13 20 PM,1.0,-6.3038182,2025 05 30-03 10 12 AM,5:56:51.914102,81,51,0.99
