LSFJOBID,argparse.shots,argparse.mode,argparse.pub,argparse.label,argparse.noisescalefactor,argparse.noisemodel,argparse.target,num_shots,estimator_precision,estimator_type,cpu_cores,time_start,lambda_noise,expectation_value,time_end,time_elapsed,CZ_gates,CZ_depth,fidelity
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_1238711.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.21305628,2025 09 12-07 03 15 PM,4:05:10.509998,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_3083570.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.1808842,2025 09 12-07 03 11 PM,4:05:05.897601,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_8719526.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.17083912,2025 09 12-07 03 15 PM,4:05:09.984080,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_3022767.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.17610515,2025 09 12-07 03 16 PM,4:05:11.377978,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_4281096.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.14671605,2025 09 12-07 03 21 PM,4:05:15.776099,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_5208352.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.18734619,2025 09 12-07 03 11 PM,4:05:06.364353,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_3380217.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.16876194,2025 09 12-07 03 15 PM,4:05:10.136198,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_9803069.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.1746677,2025 09 12-07 03 41 PM,4:05:35.631572,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_3944798.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.19700532,2025 09 12-07 04 12 PM,4:06:06.913052,85,12,0.978
15407642,1000,4,adaptaqcaer_030_noise1p000_target_ibm_pittsburgh_2025-08-10T18:59:40+00:00_seed_4677243.pub.pkl,030,1.0,ibm_pittsburgh_2025-08-10T18:59:40+00:00.properties.pkl,ibm_pittsburgh_2025-08-10T18:59:40+00:00.target.pkl,1000,0.03162277660168379,noisy Aer simulator,64,2025 09 12-02 58 05 PM,1.0,-6.17167735,2025 09 12-07 03 11 PM,4:05:05.564124,85,12,0.978
